Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"17.40000","32.74596","0.05770"
"17.50000","32.95939","0.05805"
"17.60000","33.17931","0.05838"
"17.70000","33.34860","0.05872"
"17.80000","33.55226","0.05905"
"17.90000","33.75999","0.05940"
"18.00000","33.96612","0.05973"
"18.10000","34.16980","0.06007"
"18.20000","34.37236","0.06041"
"18.30000","34.53077","0.06075"
"18.40000","34.73032","0.06109"
"18.50000","34.96830","0.06142"
"18.60000","35.18551","0.06177"
"18.70000","35.41171","0.06211"
"18.80000","35.54205","0.06245"
"18.90000","35.78841","0.06279"
"19.00000","35.99677","0.06315"
"19.10000","36.23101","0.06346"
"19.20000","36.36395","0.06381"
"19.30000","36.59295","0.06415"
"19.40000","36.77226","0.06447"
"19.50000","37.02455","0.06481"
"19.60000","37.20922","0.06514"
"19.70000","37.41273","0.06548"
"19.80000","37.57575","0.06581"
"19.90000","37.80863","0.06614"
"20.00000","37.99577","0.06647"
"20.10000","38.20337","0.06679"
"20.20000","38.39331","0.06712"
"20.30000","38.58566","0.06745"
"20.40000","38.79141","0.06778"
"20.50000","38.99141","0.06812"
"20.60000","39.21379","0.06846"
"20.70000","39.40939","0.06881"
"20.80000","39.61083","0.06915"
"20.90000","39.82462","0.06947"
"21.00000","40.02757","0.06982"
"21.10000","40.20910","0.07015"
"21.20000","40.41688","0.07048"
"21.30000","40.60786","0.07081"
"21.40000","40.82279","0.07114"
"21.50000","41.01945","0.07148"
"21.60000","41.21572","0.07181"
"21.70000","41.42401","0.07215"
"21.80000","41.61951","0.07247"
"21.90000","41.82341","0.07280"
"22.00000","42.00357","0.07312"
"22.10000","42.21946","0.07346"
"22.20000","42.43013","0.07380"
"22.30000","42.64207","0.07413"
"22.40000","42.82503","0.07447"
"22.50000","43.04608","0.07481"
"22.60000","43.23438","0.07514"
"22.70000","43.43823","0.07547"
"22.80000","43.63099","0.07580"
"22.90000","43.85273","0.07613"
"23.00000","44.04186","0.07647"
"23.10000","44.24743","0.07681"
"23.20000","44.44368","0.07714"
"23.30000","44.66113","0.07748"
"23.40000","44.86232","0.07780"
"23.50000","45.05778","0.07814"
"23.60000","45.25646","0.07847"
"23.70000","45.46487","0.07881"
"23.80000","45.66441","0.07914"
"23.90000","45.86496","0.07947"
"24.00000","46.06096","0.07980"
"24.10000","46.26421","0.08013"
"24.20000","46.46444","0.08047"
"24.30000","46.66852","0.08080"
"24.40000","46.88916","0.08114"
"24.50000","47.07213","0.08147"
"24.60000","47.28756","0.08181"
"24.70000","47.47765","0.08214"
"24.80000","47.68355","0.08247"
"24.90000","47.88384","0.08280"
"25.00000","48.09451","0.08313"
"25.10000","48.29212","0.08347"
"25.20000","48.47997","0.08379"
"25.30000","48.68528","0.08412"
"25.40000","48.88269","0.08445"
"25.50000","49.07139","0.08476"
"25.60000","49.26736","0.08508"
"25.70000","49.45216","0.08538"
"25.80000","49.64682","0.08570"
"25.90000","49.84632","0.08603"
"26.00000","50.06557","0.08637"
"26.10000","50.29452","0.08672"
"26.20000","50.47676","0.08704"
"26.30000","50.67896","0.08737"
"26.40000","50.90623","0.08772"
"26.50000","51.09081","0.08804"
"26.60000","51.29585","0.08837"
"26.70000","51.50551","0.08872"
"26.80000","51.73265","0.08905"
"26.90000","51.93554","0.08939"
"27.00000","52.12041","0.08970"
"27.10000","52.34691","0.09006"
"27.20000","52.55545","0.09039"
"27.30000","52.75785","0.09071"
"27.40000","52.95395","0.09105"
"27.50000","53.16787","0.09138"
"27.60000","53.37717","0.09170"
"27.70000","53.58988","0.09203"
"27.80000","53.76369","0.09235"
"27.90000","53.98274","0.09269"
"28.00000","54.19507","0.09304"
"28.10000","54.42654","0.09338"
"28.20000","54.62471","0.09370"
"28.30000","54.83209","0.09404"
"28.40000","55.03467","0.09437"
"28.50000","55.24277","0.09471"
"28.60000","55.44670","0.09505"
"28.70000","55.66784","0.09539"
"28.80000","55.87642","0.09572"
"28.90000","56.07043","0.09606"
"29.00000","56.27810","0.09638"
"29.10000","56.48711","0.09672"
"29.20000","56.70205","0.09706"
"29.30000","56.91176","0.09740"
"29.40000","57.12816","0.09774"
"29.50000","57.32398","0.09808"
"29.60000","57.55350","0.09842"
"29.70000","57.75700","0.09877"
"29.80000","57.95982","0.09910"
"29.90000","58.16873","0.09944"
"30.00000","58.39974","0.09979"
"30.10000","58.58732","0.10010"
"30.20000","58.75082","0.10039"
"30.30000","58.94001","0.10071"
"30.40000","59.14920","0.10103"
"30.50000","59.39174","0.10141"
"30.60000","59.59376","0.10172"
"30.70000","59.80276","0.10205"
"30.80000","60.01366","0.10241"
"30.90000","60.21406","0.10272"
"31.00000","60.44032","0.10309"
"31.10000","60.66115","0.10343"
"31.20000","60.87380","0.10379"
"31.30000","61.07999","0.10412"
"31.40000","61.30519","0.10448"
"31.50000","61.51728","0.10481"
"31.60000","61.70611","0.10514"
"31.70000","61.90208","0.10547"
"31.80000","62.12261","0.10581"
"31.90000","62.34198","0.10616"
"32.00000","62.52819","0.10648"
"32.10000","62.71897","0.10678"
"32.20000","62.93877","0.10713"
"32.30000","63.11725","0.10743"
"32.40000","63.32321","0.10778"
"32.50000","63.55616","0.10813"
"32.60000","63.76523","0.10845"
"32.70000","63.98290","0.10879"
"32.80000","64.18595","0.10913"
"32.90000","64.37501","0.10944"
"33.00000","64.58882","0.10976"
"33.10000","64.79798","0.11011"
"33.20000","64.99606","0.11043"
"33.30000","65.20126","0.11076"
"33.40000","65.41336","0.11109"
"33.50000","65.61278","0.11142"
"33.60000","65.83014","0.11176"
"33.70000","66.03823","0.11209"
"33.80000","66.24356","0.11242"
"33.90000","66.45300","0.11275"
"34.00000","66.67210","0.11309"
